key,ru,en,hy,hi
Mg_filter_deleted,Фильтр номер @ успешно удален,Filter number @ successfully deleted,Ֆիլտրը # @ հաջողությամբ ջնջվեց,फ़िल्टर नंबर @ सफलतापूर्वक हटा दिया गया
Mg_incorrect_number,"Неверный номер фильтра. Пожалуйста, введите номер существующего фильтра",Invalid filter number. Please enter the number of an existing filter.,Ֆիլտրի սխալ համար։ Խնդրում եմ մուտքագրեք գոյության ունեցող ֆիլտրի համար։,अमान्य फ़िल्टर नंबर। कृपया मौजूदा फ़िल्टर का नंबर दर्ज करें।
Kb_more_filters,Хотите удалить еще один фильтр?,Do you want to delete another filter?,Ցանկանու՞մ եք ջնջել ևս մեկ ֆիլտր,क्या आप एक और फ़िल्टर हटाना चाहते हैं?
Kb_no_filters,Больше фильтров нет. Давайте создадим?,There are no more filters. Shall we create one?,Այլևս ֆիլտրեր չկան։ Եկեք այն ստեղծե՞նք,और फ़िल्टर नहीं हैं। क्या हम एक बनाएं?
Mg_select_delete_filter,"Какой фильтр хотите удалить?
Напишите '0', чтобы удалить все фильтры","Which filter would you like to delete?
Write '0' to delete all filters.","Ո՞ր ֆիլտրն եք ուզում հեռացնել:
Մուտքագրեք «0»՝ բոլոր ֆիլտրերը հեռացնելու համար","आप कौन सा फ़िल्टर हटाना चाहेंगे?
सभी फ़िल्टर हटाने के लिए '0' लिखें।"
Mg_cant_delete,Чтобы что-то удалить - нужно что-то создать :),"To delete something, you need to create something :)",Ինչ-որ բան ջնջելու համար պետք է ինչ-որ բան ստեղծել :),"कुछ हटाने के लिए, कुछ बनाना चाहिए :)"
Mg_no_filters_1,А фильтров больше нет...,And there are no more filters...,Այլևս ֆիլտրեր չկան...,और और फ़िल्टर नहीं है...
Kb_select_type,Какое жилье ищете?,What type of accommodation are you looking for?,Ինչպիսի՞ կացարան եք փնտրում:,आप किस तरह की आवास ढूँढ रहे हैं?
Kb_no_more_filters,"Хорошо. Ожидайте объявлений по вашим фильтрам.
Пишите /menu, если понадоблюсь","Alright. Expect notifications based on your filters.
Write /menu if you need me"," Լավ։ Սպասեք հայտարարությունների ըստ ձեր ֆիլտրերի։
Գրեք /menu, եթե պետք լինեմ","ठीक है। अपने फ़िल्टर के आधार पर सूचनाएँ की प्रत्याशा करें।
मुझे चाहिए हो, तो /menu लिखें।"
Mg_ill_wait,"Хорошо. Можете пока подумать.
Подожду пока ваше решение тут","Alright. You can take your time to think.
I'll wait for your decision here.","Լավ։ Դուք դեռ կարող եք մտածել:
Ես կսպասեմ ձեր որոշմանը այստեղ։","ठीक है। आप ध्यान देने के लिए समय ले सकते हैं।
मैं आपके निर्णय का इंतजार करूँगा।"
Mg_select_currency,"Пожалуйста, выберите валюту",Please select a currency,"Խնդրում եմ, ընտրեք արժույթ։",कृपया मुद्रा चुनें।
Mg_cant_save_filter,Не могу сохранить пустой фильтр,Can't save an empty filter.,Չեմ կարող պահպանել դատարկ ֆիլտր։,खाली फ़िल्टर को सहेजा नहीं जा सकता।
Mg_input_price,"Пожалуйста, введите цену",Please enter the price.,"Խնդրում եմ, մուտքագրեք գինը։",कृपया मूल्य दर्ज करें।
Mg_input_square,"Пожалуйста, введите площадь",Please enter the desired area.,"Խնդրում եմ, մուտքագրեք մակերեսը։",कृपया आवश्यक क्षेत्र दर्ज करें।
Mg_incorrect_input,"Пожалуйста, введите число. Например: 150",Please enter a number. For example: 1500,"Խնդրում եմ, մուտքագրեք թիվ։ Օրինակ՝ 1500։",कृपया एक संख्या दर्ज करें। उदाहरण के लिए: 1500।
Kb_select_type_filter,"Короткий фильтр - до 4 параметров.
Полный фильтр - до 12 параметров.","Short filter - up to 4 parameters.
Full filter - up to 12 parameters","Կարճ ֆիլտր՝ մինչև 4 պարամետր։
Լրիվ ֆիլտր՝ մինչև 12 պարամետր:","छोटा फ़िल्टर - 4 पैरामीटर तक।
पूरा फ़िल्टर - 12 पैरामीटर तक।"
Kb_main_filter,Установите желаемые параметры,Set desired parameters,Տեղադրեք անհրաժեշտ պարամետրերը,आवश्यक पैरामीटर्स सेट करें
Mg_wrong_min_price,"Минимальная цена должна быть меньше, чем максимальная",The minimum price must be less than the maximum,Մինիմալ գինը պետք է մաքսիմալ գնից քիչ լինի,न्यूनतम कीमत अधिकतम से कम होनी चाहिए
Mg_wrong_max_price,"Максимальная цена должна быть больше, чем минимальная",The maximum price must be greater than the minimum,Մաքսիմալ գինը պետք է մինիմալ գնից մեծ լինի,अधिकतम कीमत न्यूनतम से अधिक होनी चाहिए
Mg_wrong_min_square,"Минимальная площадь должна быть меньше, чем максимальная",The minimum area must be less than the maximum,Մինիմալ մակերեսի գինը պետք է մաքսիմալ մակերեսի գնից քիչ լինի,न्यूनतम क्षेत्र अधिकतम से कम होना चाहिए
Mg_wrong_max_square,"Максимальная площадь должна быть больше, чем минимальная",The maximum area must be greater than the minimum,Մաքսիմալ մակերեսի գինը պետք է մինիմալ մակերեսի գնից մեծ լինի,अधिकतम क्षेत्र न्यूनतम से अधिक होना चाहिए
Mg_currency_not_selected,Вы еще не выбрали валюту :),You haven't selected a currency yet :),Դուք դեռ չեք ընտրել արժույթը :),आपने अभी तक कोई मुद्रा चुनी नहीं है :)
Kb_change_currency,Вы хотите изменить валюту?,Do you want to change the currency?,Ուզու՞մ եք փոխել արժույթը։,क्या आप मुद्रा बदलना चाहते हैं?
Mg_no_enough_filters,"Хорошо. Если я снова понадоблюсь, то вы можете меня вызвать через кнопку меню 👇","Alright. If I'm needed again, you can summon me through the menu button 👇","Լավ: Եթե ​​իմ կարիքը նորից լինի, կարող եք ինձ կանչել մենյուի կոճակով 👇","ठीक है। अगर मुझे फिर से आवश्यकता हो, तो आप मुझे मेनू बटन के माध्यम से बुला सकते हैं 👇"
Mg_wrong_min_floor,Минимальный этаж не может быть больше максимального,The minimum floor cannot be greater than the maximum,Մինիմալ հարկը չի կարող մաքսիմալ հարկից մեծ լինել,न्यूनतम मंजिल अधिकतम से अधिक नहीं हो सकती
Kb_filter_added,Отлично! Фильтр успешно добавлен. За последние 7 дней было @ объявлений по вашему фильтру. Хотите еще добавить фильтр?,"Great! The filter has been successfully added. In the last 7 days, there have been @ listings based on your filter. Do you want to add another filter?",Հիանալի է! Ֆիլտրը հաջողությամբ ավելացվեց։ Վերջին 7 օրվա ընթացքում ձեր ֆիլտրի հիման վրա եղել է @ հայտարարություն։ Կցանկանա՞ք ավելացնել ևս մեկ ֆիլտր:,"शानदार! फ़िल्टर सफलतापूर्वक जोड़ दिया गया है। पिछले 7 दिनों में, आपके फ़िल्टर के आधार पर @ विज्ञापन थे। क्या आप और एक फ़िल्टर जोड़ना चाहेंगे?"
Kb_return_edit_filter,"Хорошо. Давайте вернемся к началу. Может быть, вы что-то хотели изменить🤔",Alright. Let's go back to the beginning. Maybe you wanted to change something🤔,Լավ։ Վերադառնանք սկզբին։ Գուցե ցանկանաք ինչ–որ բան փոփոխել 🤔,ठीक है। चलो शुरुआत पर वापस जाते हैं। शायद आप कुछ बदलना चाहते हो🤔
Kb_select_floors,Сколько этажей хотите в доме?,How many floors do you want in the building?,Քանի՞ հարկ եք ուզում տանը:,आप इमारत में कितने मंजिलों की इच्छा रखते हैं?
Txt_yours_filters,Вот ваши созданные фильтры:,Here are your created filters:,Ահա ձեր ստեղծած ֆիլտրերը.,यहाँ आपके बनाए गए फ़िल्टर हैं:
Txt_type_object_flat,Квартира,Flat,Բնակարան,अपार्टमेंट
Txt_type_object_house,Дом,House,Տուն,घर
Txt_object,Объект:,Object:,Օբյեկտ՝,वस्तु:
Txt_id_filter,ID Фильтра:,Filter ID:,Ֆիլտրի ID՝,फिल्टर आईडी:
Txt_districts,Районы,Districts,Շրջաններ,जिले
Txt_price_amd_min,Цена в AMD от:,Price in AMD from:,Գինը AMD-ում՝ սկսած,AMD में कीमत थामें
Txt_price_amd_max,Цена в AMD до,Price in AMD to:,Գինը AMD-ում՝ մինչև,AMD में कीमत तक
Txt_price_usd_min,Цена в USD от:,Price in USD from:,Գինը USD-ում՝ սկսած,USD में कीमत थामें
Txt_price_usd_max,Цена в USD до:,Price in USD to:,Գինը USD-ում՝ մինչև,USD में कीमत तक
Txt_price_rur_min,Цена в RUR от:,Price in RUR from:,Գինը RUR-ում՝ սկսած,RUR में कीमत थामें
Txt_price_rur_max,Цена в RUR до:,Price in RUR to:,Գինը RUR-ում՝ մինչև,RUR में कीमत तक
Txt_rooms,Количество комнат:,Number of rooms:,Սենյակների քանակ՝,कमरों की संख्या:
Txt_square_min,Площадь от:,Area from:,Մակերես՝ սկսած,क्षेत्रफल से:
Txt_square_max,Площадь до:,Area to:,Մակերես՝ մինչև,क्षेत्रफल तक:
Txt_floor_min,Этаж от:,Floor from:,Հարկ՝ սկսած,मंजिल से:
Txt_floor_max,Этаж до:,Floor to:,Հարկ՝ մինչև,मंजिल तक:
Txt_yes,Да,Yes,Այո,हाँ
Txt_no,Нет,No,Ոչ,नहीं
Txt_by_agreement,По договоренности,By agreement,Ըստ պայմանագրի,समझौते के अनुसार
Txt_animals,Разрешены ли животные:,Are pets allowed:,Արդյո՞ք թույլատրվում են ընտանի կենդանիներ,क्या पालतू जानवर अनुमति दी गई है:
Txt_ac,Наличие кондиционера:,Air conditioning:,Օդորակիչի առկայություն.,एयर कंडीशनिंग:
Txt_owner,Собственник:,Owner:,Սեփականատեր՝,मालिक:
Txt_floors,Этажей в доме:,Number of floors:,Հարկերի քանակը՝,मंजिलों की संख्या:
Btn_flat,Квартиру,Apartment,Բնակարան,अपार्टमेंट
Btn_house,Дом,House,Տուն,घर
Btn_back,Назад,Back,Հետ,पीछे
Btn_short,Короткий,Short,Կարճ,लघु
Btn_full,Полный,Full,Լրիվ,पूर्ण
Btn_price_min,Цена от,Price from,Մին.,कीमत से
Btn_price_max,Цена до,Price to,Մաքս.,कीमत तक
Btn_districts,Районы,Districts,Շրջաններ,जिले
Btn_rooms,Количество комнат,Number of rooms,Սենյակների քանակ՝,कमरों की संख्या:
Btn_save,Сохранить,Save,Պահպանել,बचाना
Btn_cant_save,Сохранить ❌ (пустой фильтр),Save ❌ (empty filter),Պահպանել ❌ (դատարկ ֆիլտր),सहेजें ❌ (खाली फिल्टर)
Btn_floor_min,Этаж от,Floor from,Հարկը՝ սկսած,मंजिल से
Btn_floor_max,Этаж до,Floor to,Հարկը՝ մինչև,मंजिल तक
Btn_square_min,Площадь от,Area from,Մակերեսը՝ սկսած,क्षेत्रफल से
Btn_square_max,Площадь до,Area to,Մակերեսը՝ մինչև,क्षेत्रफल तक
Btn_ac,Кондиционер,Air conditioning,Օդորակիչ,वायु संदाहक
Btn_owner,Собственник,Owner,Սեփականատեր,मालिक
Btn_m,м²,m²,քառ․ մետր/մ²,वर्ग मीटर
Btn_animals,Животные,Animals,Կենդանիներ,पालतू जानवर
Btn_floors,Количество этажей,Number of floors,Հարկերի քանակը,मंजिलों की संख्या
Btn_dontknow,Еще подумаю,Still thinking,Դեռ մտածում եմ,फिर सोचूंगा
Kb_approve_create,"После создания фильтра вы сможете его удалить через главное меню.
Подтверждаете создание фильтра?","After creating the filter, you can delete it through the main menu.
Do you confirm the creation of the filter?",Ֆիլտր ստեղծելուց հետո այն կարող եք ջնջել գլխավոր մենյուից։ Հաստատո՞ւմ եք ֆիլտրի ստեղծումը:,"फ़िल्टर बनाने के बाद, आप मुख्य मेनू के माध्यम से इसे हटा सकते हैं।क्या आप फ़िल्टर बनाने की पुष्टि करते हैं"
Txt_achapnyak,Ачапняк,Achapnyak,Աջափնյակ,अचापन्याक
Txt_arabkir,Арабкир,Arabkir,Արաբկիր,अरबकिर
Txt_avan,Аван,Avan,Ավան,अवन
Txt_davtashen,Давташен,Davtashen,Դավիթաշեն/Դավթաշեն,दविदाशेन
Txt_erebuni,Эребуни,Erebuni,Էրեբունի,एरेबूनी
Txt_zeitun,Зейтун Канакер,Zeytun Kanaker,Քանաքեռ-Զեյթուն,जेटून कनेकर
Txt_kentron,Кентрон,Kentron,Կենտրոն,केंट्रन
Txt_malatiya,Малатия Себастия,Malatia Sebastia,Մալաթիա Սեբաստիա,मालाटिया सेबास्तिया
Txt_nor,Нор Норк,Nor Nork,Նոր Նորք,नोर नोर्क
Txt_shengavit,Шенгавит,Shengavit,Շենգավիթ,शेनगावित
Txt_nork,Норк Мараш,Nork Marash,Նորք Մարաշ,नोर्क माराश
Txt_nubarashen,Нубарашен,Nubarashen,Նուբարաշեն,नुबाराशेन
Kb_districts,Выберите районы,Select districts,Ընտրեք շրջանները,जिले चुनें
Kb_rooms,Сколько комнат хотите?,How many rooms do you want?,Քանի՞ սենյակ եք ցանկանում:,आप कितने कमरे चाहते हैं?
Kb_floor_min,Минимум на каком этаже?,Minimum on which floor?,Նվազագույնը ո՞ր հարկում:,कितने मंज़िलों में न्यूनतम?
Kb_floor_max,Максимум на каком этаже?,Maximum on which floor?,Առավելագույնը ո՞ր հարկում:,कितने मंज़िलों में अधिकतम?
Kb_animals,Будете жить с животными?,Will you live with animals?,Բնակվելո՞ւ եք կենդանիների հետ,क्या आप पशुओं के साथ रहेंगे?
Kb_ac,Кондиционер нужен?,Do you need air conditioning?,Օդորակիչի կարիք ունե՞ք:,क्या आपको एयर कंडीशनिंग की आवश्यकता है?
Kb_owner,Объявления от собственников жилья?,Ads from homeowners?,Հայտարարություններ տան սեփականատերերից,घर के मालिकों से विज्ञापन?
Mg_premium,"Преимущества премиума:
1. Безлимитное количество объявлений по вашим фильтрам (3 в день без премиума)
2. Отсутствие рекламы
3. Вывод статистики (средняя цена по вашим фильтрам, сравнение с ценами по рынку и т.п.)
4. Более одного источника объявлений","Premium benefits:
1. Unlimited number of listings based on your filters (3 per day without premium)
2. No advertisements
3. Display of statistics (average price based on your filters, comparison with market prices, etc.)
4. Access to more than one listing source","Պրեմիումի առավելությունները․
1. Անսահմանափակ հայտարարություններ ըստ ընտրված ֆիլտրերի (առանց պրեմիումի օրական 3)
2. Գովազդի բացակայություն
3. Վիճակագրության տրամադրում (միջին գինը՝ ըստ ձեր ֆիլտրերի, շուկայական գների հետ համեմատում և այլն)
4. Հայտարարության մեկից ավելի աղբյուր","प्रीमियम लाभ:
1. आपके फ़िल्टर्स के आधार पर असीमित सूचियों की संख्या (प्रीमियम के बिना प्रतिदिन 3)
2. कोई विज्ञापन नहीं
3. आंकड़ों का प्रदर्शन (आपके फ़िल्टर्स के आधार पर औसत मूल्य, बाजार की कीमतों के साथ तुलना, आदि)
4. एक से अधिक सूची स्रोत तक पहुँच"
Mg_limit_ads,"Я нашел еще объявление для вас, но не могу отправить без премиума :(
Завтра вы сможете снова получить до трех объявлений!😊","I found another listing for you, but I can't send it without a premium subscription :(
Tomorrow, you will be able to receive up to three listings again! 😊","Ես գտա ևս մեկ հայտարարություն ձեզ համար, բայց չեմ կարող ուղարկել առանց պրեմիում բաժանորդագրության :(
Վաղը դուք կրկին կարող եք ստանալ մինչև երեք հայտարարություն։ 😊","मैंने आपके लिए एक और लिस्टिंग ढूंढी है, लेकिन मैं इसे प्रीमियम सब्सक्रिप्शन के बिना भेज नहीं सकता। कल, आप फिर से तीन लिस्टिंग तक प्राप्त कर सकेंगे! 😊"
Mg_reminder_idle,"Я все еще здесь и жду ваших указаний :) Возможно, вы забыли продолжить настройку фильтра?",I'm still here and waiting for your instructions :) Maybe you forgot to continue setting up the filter?,Ես դեռ այստեղ եմ և սպասում եմ ձեր հրահանգներին :) Միգուցե մոռացե՞լ եք շարունակել ֆիլտրի կարգավորումը:,मैं अभी यहाँ हूँ और आपके निर्देशों का इंतजार कर रहा हूँ :) क्या आपने फिल्टर सेट करना जारी रखना भूल गए हैं?
Mg_you_unmuted,"Вижу, что вы отошли, но остались в меню. Тогда начну вам пока отправлять ваши объявления :)","I see that you've stepped away, but you're still in the menu. So I'll start sending your ads for now :)","Ես տեսնում եմ, որ դուք հեռացել եք, բայց մնացել եք մենյուի մեջ։ Այսպիսով, ես սկսում եմ ուղարկել ձեր հայտարարությունները :)","मैं देख रहा हूँ कि आप दूर गए हैं, लेकिन मेनू में ही रह गए हैं। तो मैं अभी आपके विज्ञापनों को भेजना शुरू कर देता हूँ :)"
Btn_weekly_premium,Неделя 1.99$,Week 1.99$,Շաբաթական 1.99$,हफ्ता 1.99$
Btn_monthly_premium,Месяц 4.99$,Month 4.99$,Ամսական 4.99$,महीना 4.99$
Mg_succesful_payment_weekly,Недельная подписка оформлена! 🎉 Приятного поиска жилья! 🏠,"Weekly subscription successfully purchased! 🎉
Enjoy your apartment hunting! 🏠",Շաբաթական բաժանորդագրությունը հաստատված է: 🎉 Հաճելի բնակարանային որոնումներ 🏠,"साप्ताहिक सदस्यता सफलतापूर्वक खरीदी गई है! 🎉
आनंद लें अपार्टमेंट खोज का! 🏠"
Mg_succesful_payment_monthly,"Месячная подписка оформлена! 🎉
Приятного поиска жилья! 🏠","Monthly subscription successfully purchased! 🎉
Enjoy your apartment hunting! 🏠",Ամսական բաժանորդագրությունը հաստատված է: 🎉 Հաճելի բնակարանային որոնումներ 🏠,"मासिक सदस्यता सफलतापूर्वक खरीदी गई है! 🎉
आनंद लें अपार्टमेंट खोज का! 🏠"
Mg_subscription_expired_weekly,"Срок недельной подписки истек :(
Оформить подписку заново можно в разделе премиума в главном меню!","Your weekly subscription has expired :(
You can renew your subscription in the Premium section of the main menu!","Ձեր շաբաթվա բաժանորդագրման ժամկետը ավարտվեց :(
Նորից բաժանորդագրվելու համար այցելեք գլխավոր մենյուի պրեմիում բաժին","आपकी साप्ताहिक सदस्यता समाप्त हो गई है :(
आप प्रमुख मेनू के प्रीमियम खंड में अपनी सदस्यता को नवीनीकरण कर सकते हैं!"
Mg_subscription_expired_monthly,"Срок месячной подписки истек :(
Оформить подписку заново можно в разделе премиума в главном меню!","Your monthly subscription has expired :(
You can renew your subscription in the Premium section of the main menu!","Ձեր ամսական բաժանորդագրման ժամկետը ավարտվեց :(
Նորից բաժանորդագրվելու համար այցելեք գլխավոր մենյուի պրեմիում բաժին","आपकी मासिक सदस्यता समाप्त हो गई है :(
आप प्रमुख मेनू के प्रीमियम खंड में अपनी सदस्यता को नवीनीकरण कर सकते हैं!"
Mg_cant_renew_subscription,"Не удалось продлить подписку. Скорее всего, у вас не хватает средств на карте.
Оформить подписку заново можно в разделе премиума в главном меню!","Failed to renew subscription. Most likely, you don't have enough funds on your card.
You can renew your subscription in the Premium section of the main menu!","Չհաջողվեց երկարացնել բաժանորդագրությունը: Ամենայն հավանականությամբ, ձեր քարտին բավարար միջոցներ չկան:
Նորից բաժանորդագրվելու համար այցելեք գլխավոր մենյուի պրեմիում բաժին","सदस्यता नवीनीकरण असफल। सबसे अधिक संभावना है कि आपके कार्ड में पर्याप्त धनराशि नहीं है।
आप प्रमुख मेनू के प्रीमियम खंड में अपनी सदस्यता को नवीनीकरण कर सकते हैं!"
Mg_subscription_renewed_weekly,"Недельная подписка успешно продлена до @ UTC 🎉
Спасибо, что продолжаете пользоваться сервисом!","Weekly subscription successfully renewed until @ UTC 🎉
Thank you for continuing to use our service!","Շաբաթական բաժանորդագրությունը հաջողությամբ երկարացվեց մինչև @ UTC 🎉
Շնորհակալություն, որ շարունակում եք օգտվել մեր ծառայությունից:","साप्ताहिक सदस्यता सफलतापूर्वक @ UTC तक नवीनीकृत हो गई है 🎉
हमारी सेवा का उपयोग जारी रखने के लिए धन्यवाद!"
Mg_subscription_renewed_monthly,"Месячная подписка успешно продлена до @ UTC 🎉
Спасибо, что продолжаете пользоваться сервисом!","Monthly subscription successfully renewed until @ UTC 🎉
Thank you for continuing to use our service!","Ամսական բաժանորդագրությունը հաջողությամբ երկարացվեց մինչև @ UTC 🎉
Շնորհակալություն, որ շարունակում եք օգտվել մեր ծառայությունից:","मासिक सदस्यता सफलतापूर्वक @ UTC तक नवीनीकृत हो गई है 🎉
हमारी सेवा का उपयोग जारी रखने के लिए धन्यवाद!"
Mg_unsubscribed_manually,"Грустно это сообщать, но вы отменили подписку :(","Sad to say, but you have canceled your subscription :(","Տխուր է հայտնել, բայց դուք չեղարկել եք ձեր բաժանորդագրությունը :(","यह बताते हुए दुख हो रहा है, लेकिन आपने अपनी सदस्यता रद्द कर दी है :("
Btn_unsubscribe,Отменить подписку,Cancel subscription,Չեղարկել բաժանորդագրությունը,सदस्यता रद्द करें
Kb_active_subscribe_weekly,"Активирована недельная подписка.
Действует до @ UTC","Weekly subscription activated.
Valid until @ UTC","Շաբաթական բաժանորդագրությունը ակտիվ է:
Վավեր է մինչև @ UTC",साप्ताहिक सदस्यता सक्रिय हो गई है। @ UTC तक मान्य है
Kb_active_subscribe_monthly,"Активирована месячная подписка.
Действует до @ UTC","Monthly subscription activated.
Valid until @ UTC","Ամսական բաժանորդագրությունը ակտիվ է:
Վավեր է մինչև @ UTC","मासिक सदस्यता सक्रिय हो गई है।
@ UTC तक मान्य है"
Mg_active_subscribe_and_unsubscribed,"Ваша подписка действует до @ UTC.
!Продление подписки отключено!","Your subscription is valid until @ UTC.
!Subscription renewal is disabled!","Ձեր բաժանորդագրությունը վավեր է մինչև @ UTC
!Բաժանորդագրության երկարաձգումն անջատված է!","आपकी सदस्यता @ UTC तक मान्य है।
!सदस्यता नवीनीकरण अक्षम है!"
Mg_support,"Мы обязательно вам поможем!
Контакты поддержки: @renty_support","We will definitely help you!
Support contact: @renty_support","Մենք անպայման կօգնենք ձեզ!
Աջակցության կոնտակտը՝ @renty_support","हम निश्चित रूप से आपकी मदद करेंगे!
समर्थन संपर्क: @renty_support"
Txt_found_flat,Я нашел для вас подходящую квартиру!,I found a suitable apartment for you!,Ես գտել եմ ձեզ համար համապատասխան բնակարան!,मैंने आपके लिए एक उपयुक्त अपार्टमेंट पाया है!
Txt_found_house,Я нашел для вас подходящий дом!,I found a suitable house for you!,Ես գտել եմ ձեզ համար համապատասխան տուն!,मैंने आपके लिए एक उपयुक्त घर पाया है!
Txt_avg_price,Средняя цена:,Average price:,միջին գինը:,औसत कीमत:
Txt_below_market,Цена НИЖЕ рыночной!,Price BELOW market!,Շուկայականից ՑԱԾՐ գին!,कीमत बाजार से नीचे है!
Txt_above_market,Цена ВЫШЕ рыночной!,Price ABOVE market!,Շուկայականից ԲԱՐՁՐ գին!,कीमत बाजार से ऊपर है!
Txt_avg_market,Цена средняя по рынку,Average market price,Շուկայական միջին գին,बाजार की औसत कीमत
Txt_cant_calculate_avg,Слишком мало похожих объявлений для расчета медианной цены.,Too few similar listings to calculate median price.,Միջին գինը հաշվարկելու համար չափազանց քիչ նմանատիպ հայտարարություններ կան։,माध्य मूल्य की गणना के लिए बहुत कम समान सूचनाएं।
Txt_price_changed,"Цена уменьшилась с @ AMD до & AMD
Шанс успешных торгов повышен!","The price has decreased from @ AMD to & AMD
Increased chance of successful trades!","Գինը նվազել է @ AMD-ից մինչև & AMD
Հաջող գործարքների հավանականությունը բարձրացել է!",कीमत @ AMD से घटकर & AMD हो गई हैसफल सौदों की संभावना बढ़ गई है!
Btn_weekly_premium_tgstars,7 ДНЕЙ | 99 STARS,7 DAYS | 99 STARS,7 ՕՐ | 99 Աստղեր,7 दिन प्रीमियम | 99 तारे
Btn_monthly_premium_tgstars,30 ДНЕЙ | 249 STARS,30 DAYS | 249 STARS,30 ՕՐ | 249 Աստղեր,30 दिन प्रीमियम | 249 तारे
Txt_premium_active_to,Премиум активен до:,Premium active until:,Պրեմիումը ակտիվ է մինչև:,प्रीमियम सक्रिय है:
Txt_thx_for_buy_premium,Спасибо за покупку премиума!🎉 Приятного поиска жилья! 🏠,Thank you for purchasing premium! 🎉 Happy house hunting! 🏠,Շնորհակալություն պրեմիում գնելու համար! 🎉 Հաջող բնակարան որոնում եմ մաղթում! 🏠,्रीमियम खरीदने के लिए धन्यवाद! 🎉 घर की खोज में शुभकामनाएँ! 🏠
Txt_premium_expired,"Срок премиума истек :(
Оформить премиум заново можно в разделе премиума в главном меню!",The premium period has expired :( You can renew your premium in the premium section of the main menu!,Պրեմիումի ժամկետը սպառվել է :( Դուք կարող եք վերանորոգել պրեմիումը գլխավոր մենյուի պրեմիում բաժնում:,प्रीमियम अवधि समाप्त हो गई है :( आप मुख्य मेनू के प्रीमियम सेक्शन में जाकर प्रीमियम फिर से ले सकते हैं!
Txt_price_range,Диапазон цен:,Price range:,Գնային միջակայք:,मूल्य सीमा:
